Designator,Mid X,Mid Y,Rotation,Layer
D1,92.415,-46.96,270.0,bottom
D10,111.415,-84.96,270.0,bottom
D11,130.415,-84.96,270.0,bottom
D12,149.415,-84.96,270.0,bottom
D2,111.415,-46.96,270.0,bottom
D3,130.415,-46.96,270.0,bottom
D4,149.415,-46.96,270.0,bottom
D5,92.415,-65.96,270.0,bottom
D6,111.415,-65.96,270.0,bottom
D7,130.415,-65.96,270.0,bottom
D8,149.415,-65.96,270.0,bottom
D9,92.415,-84.96,270.0,bottom
FuncLED1,60.0,-77.0,0.0,bottom
FuncLED2,68.0,-77.0,0.0,bottom
LED1,83.0,-58.0,0.0,bottom
LED10,102.0,-96.0,0.0,bottom
LED11,121.0,-96.0,0.0,bottom
LED12,140.0,-96.0,0.0,bottom
LED2,102.0,-58.0,0.0,bottom
LED3,121.0,-58.0,0.0,bottom
LED4,140.5,-58.0,0.0,bottom
LED5,83.0,-77.0,0.0,bottom
LED6,102.0,-77.0,0.0,bottom
LED7,121.0,-77.0,0.0,bottom
LED8,140.0,-77.0,0.0,bottom
LED9,83.0,-96.0,0.0,bottom
ModeButton1,63.958,-91.6,0.0,top
ModeLED1,64.0,-96.0,0.0,bottom
R1,63.25,-39.5,270.0,bottom
S1,83.0,-53.5,0.0,top
S10,102.05,-91.6,0.0,top
S11,121.1,-91.6,0.0,top
S12,140.15,-91.6,0.0,top
S2,102.05,-53.5,0.0,top
S3,121.1,-53.5,0.0,top
S4,140.15,-53.5,0.0,top
S5,83.0,-72.55,0.0,top
S6,102.05,-72.55,0.0,top
S7,121.1,-72.55,0.0,top
S8,140.15,-72.55,0.0,top
S9,83.0,-91.6,0.0,top
SW1,79.75,-32.75,0.0,top
SW2,94.75,-31.5,0.0,top
SW3,132.75,-31.5,0.0,top
U2,63.0,-45.035,0.0,top
